id,label,x,y,cluster,weight<Links>
433,เบดไทม์,1.2247,-0.3745,5,9
434,สิ่งปลอมปน,-0.5889,-0.4722,8,72
435,วาฟเฟิล,1.6761,0.6721,2,2
436,อดอาหาร,-0.0297,0.5683,19,49
437,แลคติก,-0.9336,0.5334,12,11
438,มังสวิรัติ,-0.8009,-0.0458,15,72
439,แม่ลูกอ่อน,-0.7629,-1.0027,1,6
440,การลดราคา,-0.8285,-0.8086,1,5
441,ฮั่งก้วย,-0.3664,-0.7564,12,7
442,ไฮแคลเซียม,-0.9197,1.1476,8,4
443,เอ็มมิลค์,0.4117,-0.0328,12,108
444,โฮมเมด,0.8513,-0.7279,5,20
445,ลูกเดือย,0.2948,0.1604,10,67
446,ขาดสารอาหาร,-0.1738,-0.5255,7,88
447,โลหิตจาง,-0.9752,0.019,8,73
448,คนแก่,-0.4209,0.4372,15,74
449,นมชง,0.4845,-0.974,5,11
450,เหม็นบูด,0.2521,-1.1169,5,13
451,ถุงพลาสติก,0.0748,-0.5208,9,69
452,โฟเลต,-0.7106,0.3073,1,73
453,กาแลคโตส,-0.2105,0.8203,12,14
454,ทำกำไร,1.2986,0.638,14,4
455,แม็กซ์แวลู,0.9067,-0.4403,14,17
456,เฟซบุ้ค,1.5288,-0.3487,14,2
457,โครงการส่วนพระองค์,0.7909,-0.6101,14,7
458,ขายไม่ออก,0.6287,-0.7437,5,8
459,สารสังเคราะห์,-1.1585,-0.1007,6,57
460,haccp,-0.9869,-0.5521,7,14
461,โรคมะเร็ง,-0.9643,-0.0021,6,111
462,จืดชืด,0.3175,-0.5566,7,68
463,ฝากครรภ์,-0.9808,-0.0734,1,35
464,กล้วยน้ำว้า,-0.2892,0.6535,16,27
465,เชื้อรา,-0.8774,-0.2617,15,111
466,ซูโครส,0.7943,0.3193,13,24
467,ชั่งใจ,-1.0975,-0.0147,6,69
468,ฟองเต้าหู้,0.7639,-0.5027,14,13
469,พนักงานขาย,0.1987,-0.9738,9,26
470,ฝากท้อง,-0.3713,0.3599,1,77
471,ทำเงิน,1.2913,-0.8987,2,2
472,ฟองมัน,-0.6639,1.0944,3,5
473,ตัวแทนจำหน่าย,1.0993,-0.2354,11,17
474,แคนตาลูป,0.9921,-0.2296,2,11
475,กระดูกสันหลัง,-1.3667,1.0235,6,6
476,กระดูกอ่อน,-1.3662,1.0238,6,6
477,เทนนิส,0.3992,-1.0098,7,3
478,แอลมอนด์,-1.2656,0.4233,10,5
479,กินรวบ,0.7205,1.4705,14,1
480,คอลลาเจน,0.1489,0.4462,11,29
481,พิษสุนัขบ้า,0.5953,-0.8676,5,6
482,ห้องเย็น,-0.0076,-1.1868,7,12
483,เด็กวัยเรียน,0.0399,-0.9518,7,43
484,การเล่นกีฬา,0.3255,-1.1348,7,8
485,ฝืดคอ,0.5258,-1.0037,5,10
486,สเตรปโตคอคคัส,-1.1053,-0.1882,6,67
487,ช่องท้อง,-0.7873,0.2208,10,36
488,แอนตี้ไบโอติก,0.4159,0.3974,10,26
489,ส่วนแบ่งการตลาด,0.3183,-0.7999,5,34
490,แล็ป,0.1571,1.1967,5,6
491,คุมอาหาร,-0.4765,-1.764,7,1
492,คนไข้,-0.8301,0.4633,15,27
493,ฟื้นฟูสภาพ,-1.0197,-0.5593,1,15
494,อโวคาโด,-1.0443,0.1027,15,50
495,เครื่องดื่มให้พลังงาน,-0.1154,-0.9055,7,20
496,โรคโลหิตจาง,-0.9976,0.8481,10,3
